"Series Code","Topic","Indicator Name","Short definition","Long definition","Unit of measure","Periodicity","Base Period","Other notes","Aggregation method","Limitations and exceptions","Notes from original source","General comments","Source","Statistical concept and methodology","Development relevance","Related source links","Other web links","Related indicators","License Type",
"HD.HCI.AMRT","","Survival Rate from Age 15-60","","Adult survival rate is calculated by subtracting the mortality rate for 15-60 year-olds from 1. Most recent estimates are used.  Year of most recent estimate shown in data notes.","","","","","","","","","United Nations Population Division, World Population Prospects: 2019 Revision, supplemented with data provided by World Bank Staff.","","","","","","CC BY-4.0",
"HD.HCI.AMRT.FE","","Survival Rate from Age 15-60, Female","","Adult survival rate is calculated by subtracting the mortality rate for 15-60 year-olds from 1. Most recent estimates are used.  Year of most recent estimate shown in data notes.","","","","","","","","","United Nations Population Division, World Population Prospects: 2019 Revision, supplemented with data provided by World Bank Staff.","","","","","","CC BY-4.0",
"HD.HCI.AMRT.MA","","Survival Rate from Age 15-60, Male","","Adult survival rate is calculated by subtracting the mortality rate for 15-60 year-olds from 1. Most recent estimates are used.  Year of most recent estimate shown in data notes.","","","","","","","","","United Nations Population Division, World Population Prospects: 2019 Revision, supplemented with data provided by World Bank Staff.","","","","","","CC BY-4.0",
"HD.HCI.EYRS","","Expected Years of School","","Expected years of school is calculated as the sum of age-specific enrollment rates between ages 4 and 17. Age-specific enrollment rates are approximated using school enrollment rates at different levels: pre-primary enrollment rates approximate the age-specific enrolment rates for 4 and 5 year-olds; the primary rate approximates for 6-11 year-olds; the lower-secondary rate approximates for 12-14 year-olds; and the upper-secondary approximates for 15-17 year-olds. Most recent estimates are used.  Year of most recent primary enrollment rate used is shown  in data notes.","","","","","","","","","World Bank staff estimates based on data from UNESCO Institute for Statistics, supplemented with data provided by World Bank staff.","","","","","","CC BY-4.0",
"HD.HCI.EYRS.FE","","Expected Years of School, Female","","Expected years of school is calculated as the sum of age-specific enrollment rates between ages 4 and 17. Age-specific enrollment rates are approximated using school enrollment rates at different levels: pre-primary enrollment rates approximate the age-specific enrolment rates for 4 and 5 year-olds; the primary rate approximates for 6-11 year-olds; the lower-secondary rate approximates for 12-14 year-olds; and the upper-secondary approximates for 15-17 year-olds. Most recent estimates are used.  Year of most recent primary enrollment rate used is shown  in data notes.","","","","","","","","","World Bank staff estimates based on data from UNESCO Institute for Statistics, supplemented with data provided by World Bank staff.","","","","","","CC BY-4.0",
"HD.HCI.EYRS.MA","","Expected Years of School, Male","","Expected years of school is calculated as the sum of age-specific enrollment rates between ages 4 and 17. Age-specific enrollment rates are approximated using school enrollment rates at different levels: pre-primary enrollment rates approximate the age-specific enrolment rates for 4 and 5 year-olds; the primary rate approximates for 6-11 year-olds; the lower-secondary rate approximates for 12-14 year-olds; and the upper-secondary approximates for 15-17 year-olds. Most recent estimates are used.  Year of most recent primary enrollment rate used is shown  in data notes.","","","","","","","","","World Bank staff estimates based on data from UNESCO Institute for Statistics, supplemented with data provided by World Bank staff.","","","","","","CC BY-4.0",
"HD.HCI.HLOS","","Harmonized Test Scores","","Harmonized test scores from major international student achievement testing programs.They are measured in TIMSS-equivalent units, where 300 is minimal attainment and 625 is advanced attainment. Most recent estimates are used.  Year of most recent estimate shown in data notes. 

Test scores from the following testing programs are included:
• TIMSS/PIRLS:  Refers to average of test scores from TIMSS (Trends in International Maths and Science Study) and PIRLS (Progress in International Reading Literacy Study), both carried out by the International Association for the Evaluation of Educational Achievement. Data from each PIRLS round is moved to the year of the nearest TIMSS round and averaged with the TIMSS data.     
• PISA:  Refers to test scores from Programme for International Student Assessment
• PISA+TIMSS/PIRLS:  Refers to the average of these programs for countries and years where both are available
• SACMEQ:  Refers to test scores from Southern and Eastern Africa Consortium for Monitoring Educational Quality 
• PASEC: Refers to test scores from Program of Analysis of Education Systems
• LLECE:  Refers to test scores from Latin American Laboratory for Assessment of the Quality of Education
• PILNA: Refers to test scores from Pacific Islands Literacy and Numeracy Assessment
• EGRA:  Refers to test scores from nationally-representative Early Grade Reading Assessments  
• EGRANR:  Refers to test scores from non-nationally-representative Early Grade Reading Assessments","","","","","","","","","Patrinos and Angrist (2018).  http://documents.worldbank.org/curated/en/390321538076747773/Global-Dataset-on-Education-Quality-A-Review-and-Update-2000-2017","","","","","","CC BY-4.0",
"HD.HCI.HLOS.FE","","Harmonized Test Scores, Female","","Harmonized test scores from major international student achievement testing programs.They are measured in TIMSS-equivalent units, where 300 is minimal attainment and 625 is advanced attainment. Most recent estimates are used.  Year of most recent estimate shown in data notes. 

Test scores from the following testing programs are included:
• TIMSS/PIRLS:  Refers to average of test scores from TIMSS (Trends in International Maths and Science Study) and PIRLS (Progress in International Reading Literacy Study), both carried out by the International Association for the Evaluation of Educational Achievement. Data from each PIRLS round is moved to the year of the nearest TIMSS round and averaged with the TIMSS data.     
• PISA:  Refers to test scores from Programme for International Student Assessment
• PISA+TIMSS/PIRLS:  Refers to the average of these programs for countries and years where both are available
• SACMEQ:  Refers to test scores from Southern and Eastern Africa Consortium for Monitoring Educational Quality 
• PASEC: Refers to test scores from Program of Analysis of Education Systems
• LLECE:  Refers to test scores from Latin American Laboratory for Assessment of the Quality of Education
• PILNA: Refers to test scores from Pacific Islands Literacy and Numeracy Assessment
• EGRA:  Refers to test scores from nationally-representative Early Grade Reading Assessments  
• EGRANR:  Refers to test scores from non-nationally-representative Early Grade Reading Assessments","","","","","","","","","Patrinos and Angrist (2018).  http://documents.worldbank.org/curated/en/390321538076747773/Global-Dataset-on-Education-Quality-A-Review-and-Update-2000-2017","","","","","","CC BY-4.0",
"HD.HCI.HLOS.MA","","Harmonized Test Scores, Male","","Harmonized test scores from major international student achievement testing programs.They are measured in TIMSS-equivalent units, where 300 is minimal attainment and 625 is advanced attainment. Most recent estimates are used.  Year of most recent estimate shown in data notes. 

Test scores from the following testing programs are included:
• TIMSS/PIRLS:  Refers to average of test scores from TIMSS (Trends in International Maths and Science Study) and PIRLS (Progress in International Reading Literacy Study), both carried out by the International Association for the Evaluation of Educational Achievement. Data from each PIRLS round is moved to the year of the nearest TIMSS round and averaged with the TIMSS data.     
• PISA:  Refers to test scores from Programme for International Student Assessment
• PISA+TIMSS/PIRLS:  Refers to the average of these programs for countries and years where both are available
• SACMEQ:  Refers to test scores from Southern and Eastern Africa Consortium for Monitoring Educational Quality 
• PASEC: Refers to test scores from Program of Analysis of Education Systems
• LLECE:  Refers to test scores from Latin American Laboratory for Assessment of the Quality of Education
• PILNA: Refers to test scores from Pacific Islands Literacy and Numeracy Assessment
• EGRA:  Refers to test scores from nationally-representative Early Grade Reading Assessments  
• EGRANR:  Refers to test scores from non-nationally-representative Early Grade Reading Assessments","","","","","","","","","Patrinos and Angrist (2018).  http://documents.worldbank.org/curated/en/390321538076747773/Global-Dataset-on-Education-Quality-A-Review-and-Update-2000-2017","","","","","","CC BY-4.0",
"HD.HCI.LAYS","","Learning-Adjusted Years of School","","Learning-adjusted years of school are calculated by multiplying the estimates of expected years of school by the ratio of most recent harmonized test scores to 625.","","","","","","","","","World Bank staff calculation based on methodology in Filmer et al. (2018).  http://documents.worldbank.org/curated/en/243261538075151093/Learning-Adjusted-Years-of-Schooling-LAYS-Defining-A-New-Macro-Measure-of-Education","","","","","","CC BY-4.0",
"HD.HCI.LAYS.FE","","Learning-Adjusted Years of School, Female","","Learning-adjusted years of school are calculated by multiplying the estimates of expected years of school by the ratio of most recent harmonized test scores to 625.","","","","","","","","","World Bank staff calculation based on methodology in Filmer et al. (2018).  http://documents.worldbank.org/curated/en/243261538075151093/Learning-Adjusted-Years-of-Schooling-LAYS-Defining-A-New-Macro-Measure-of-Education","","","","","","CC BY-4.0",
"HD.HCI.LAYS.MA","","Learning-Adjusted Years of School, Male","","Learning-adjusted years of school are calculated by multiplying the estimates of expected years of school by the ratio of most recent harmonized test scores to 625.","","","","","","","","","World Bank staff calculation based on methodology in Filmer et al. (2018).  http://documents.worldbank.org/curated/en/243261538075151093/Learning-Adjusted-Years-of-Schooling-LAYS-Defining-A-New-Macro-Measure-of-Education","","","","","","CC BY-4.0",
"HD.HCI.MORT","","Probability of Survival to Age 5","","Probability of survival to age 5 is calculated by subtracting the under-5 mortality rate from 1. Most recent estimates are used.  Year of most recent estimate shown in data notes.","","","","","","","","","United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), supplemented with data provided by World Bank staff.","","","","","","CC BY-4.0",
"HD.HCI.MORT.FE","","Probability of Survival to Age 5, Female","","Probability of survival to age 5 is calculated by subtracting the under-5 mortality rate from 1. Most recent estimates are used.  Year of most recent estimate shown in data notes.","","","","","","","","","UNESCO Institute for Statistics.","","","","","","CC BY-4.0",
"HD.HCI.MORT.MA","","Probability of Survival to Age 5, Male","","Probability of survival to age 5 is calculated by subtracting the under-5 mortality rate from 1. Most recent estimates are used.  Year of most recent estimate shown in data notes.","","","","","","","","","United Nations Inter-agency Group for Child Mortality Estimation (UN IGME), supplemented with data provided by World Bank staff.","","","","","","CC BY-4.0",
"HD.HCI.OVRL","","Human Capital Index (HCI) (scale 0-1)","","The HCI calculates the contributions of health and education to worker productivity. The final index score ranges from zero to one and measures the productivity as a future worker of child born today relative to the benchmark of full health and complete education.","","","","","","","","","World Bank staff calculations based on the methodology described in World Bank (2018). https://openknowledge.worldbank.org/handle/10986/30498.","","","","","","CC BY-4.0",
"HD.HCI.OVRL.FE","","Human Capital Index (HCI), Female (scale 0-1)","","The HCI calculates the contributions of health and education to worker productivity. The final index score ranges from zero to one and measures the productivity as a future worker of child born today relative to the benchmark of full health and complete education.","","","","","","","","","World Bank staff calculations based on the methodology described in World Bank (2018). https://openknowledge.worldbank.org/handle/10986/30498.","","","","","","CC BY-4.0",
"HD.HCI.OVRL.LB","","Human Capital Index, Lower Bound (scale 0-1)","","The HCI lower bound reflects uncertainty in the measurement of  the components and the overall index. It is obtained by recalculating the HCI using estimates of the upper bounds of each of the components of the HCI.  The range between the upper and lower bound is the uncertainty interval.  While the uncertainty intervals constructed here do not have a rigorous statistical interpretation, a rule of thumb is that if for two countries they overlap substantially, the differences between their HCI values are not likely to be practically meaningful.","","","","","","","","","World Bank staff calculations based on the methodology described in Kraay (2018).  http://documents.worldbank.org/curated/en/300071537907028892/Methodology-for-a-World-Bank-Human-Capital-Index","","","","","","CC BY-4.0",
"HD.HCI.OVRL.LB.FE","","Human Capital Index, Female,Lower Bound (scale 0-1)","","The HCI lower bound reflects uncertainty in the measurement of  the components and the overall index. It is obtained by recalculating the HCI using estimates of the upper bounds of each of the components of the HCI.  The range between the upper and lower bound is the uncertainty interval.  While the uncertainty intervals constructed here do not have a rigorous statistical interpretation, a rule of thumb is that if for two countries they overlap substantially, the differences between their HCI values are not likely to be practically meaningful.","","","","","","","","","World Bank staff calculations based on the methodology described in Kraay (2018).  http://documents.worldbank.org/curated/en/300071537907028892/Methodology-for-a-World-Bank-Human-Capital-Index","","","","","","CC BY-4.0",
"HD.HCI.OVRL.LB.MA","","Human Capital Index, Male, Lower Bound (scale 0-1)","","The HCI lower bound reflects uncertainty in the measurement of  the components and the overall index. It is obtained by recalculating the HCI using estimates of the upper bounds of each of the components of the HCI.  The range between the upper and lower bound is the uncertainty interval.  While the uncertainty intervals constructed here do not have a rigorous statistical interpretation, a rule of thumb is that if for two countries they overlap substantially, the differences between their HCI values are not likely to be practically meaningful.","","","","","","","","","World Bank staff calculations based on the methodology described in Kraay (2018).  http://documents.worldbank.org/curated/en/300071537907028892/Methodology-for-a-World-Bank-Human-Capital-Index","","","","","","CC BY-4.0",
"HD.HCI.OVRL.MA","","Human Capital Index (HCI), Male (scale 0-1)","","The HCI calculates the contributions of health and education to worker productivity. The final index score ranges from zero to one and measures the productivity as a future worker of child born today relative to the benchmark of full health and complete education.","","","","","","","","","World Bank staff calculations based on the methodology described in World Bank (2018). https://openknowledge.worldbank.org/handle/10986/30498.","","","","","","CC BY-4.0",
"HD.HCI.OVRL.UB","","Human Capital Index, Upper Bound (scale 0-1)","","The HCI upper bound reflects uncertainty in the measurement of  the components and the overall index. It is obtained by recalculating the HCI using estimates of the upper bounds of each of the components of the HCI.  The range between the upper and lower bound is the uncertainty interval.  While the uncertainty intervals constructed here do not have a rigorous statistical interpretation, a rule of thumb is that if for two countries they overlap substantially, the differences between their HCI values are not likely to be practically meaningful.","","","","","","","","","World Bank staff calculations based on the methodology described in Kraay (2018).  http://documents.worldbank.org/curated/en/300071537907028892/Methodology-for-a-World-Bank-Human-Capital-Index","","","","","","CC BY-4.0",
"HD.HCI.OVRL.UB.FE","","Human Capital Index, Female, Upper Bound (scale 0-1)","","The HCI upper bound reflects uncertainty in the measurement of  the components and the overall index. It is obtained by recalculating the HCI using estimates of the upper bounds of each of the components of the HCI.  The range between the upper and lower bound is the uncertainty interval.  While the uncertainty intervals constructed here do not have a rigorous statistical interpretation, a rule of thumb is that if for two countries they overlap substantially, the differences between their HCI values are not likely to be practically meaningful.","","","","","","","","","World Bank staff calculations based on the methodology described in Kraay (2018).  http://documents.worldbank.org/curated/en/300071537907028892/Methodology-for-a-World-Bank-Human-Capital-Index","","","","","","CC BY-4.0",
"HD.HCI.OVRL.UB.MA","","Human Capital Index, Male, Upper Bound (scale 0-1)","","The HCI upper bound reflects uncertainty in the measurement of  the components and the overall index. It is obtained by recalculating the HCI using estimates of the upper bounds of each of the components of the HCI.  The range between the upper and lower bound is the uncertainty interval.  While the uncertainty intervals constructed here do not have a rigorous statistical interpretation, a rule of thumb is that if for two countries they overlap substantially, the differences between their HCI values are not likely to be practically meaningful.","","","","","","","","","World Bank staff calculations based on the methodology described in Kraay (2018).  http://documents.worldbank.org/curated/en/300071537907028892/Methodology-for-a-World-Bank-Human-Capital-Index","","","","","","CC BY-4.0",
"HD.HCI.STNT","","Fraction of Children Under 5 Not Stunted","","Percentage not stunted is calculated by subtracting stunting rates from 1. Most recent estimates are used.  Year of most recent estimate shown in data notes.","","","","","","","","","UNICEF-WHO-World Bank Joint Malnutrition Estimates, supplemented with data provided by World Bank staff.","","","","","","CC BY-4.0",
"HD.HCI.STNT.FE","","Fraction of Children Under 5 Not Stunted, Female","","Percentage not stunted is calculated by subtracting stunting rates from 1. Most recent estimates are used.  Year of most recent estimate shown in data notes.","","","","","","","","","UNICEF-WHO-World Bank Joint Malnutrition Estimates, supplemented with data provided by World Bank staff.","","","","","","CC BY-4.0",
"HD.HCI.STNT.MA","","Fraction of Children Under 5 Not Stunted, Male","","Percentage not stunted is calculated by subtracting stunting rates from 1. Most recent estimates are used.  Year of most recent estimate shown in data notes.","","","","","","","","","UNICEF-WHO-World Bank Joint Malnutrition Estimates, supplemented with data provided by World Bank staff.","","","","","","CC BY-4.0",
